id,node_id,position
6365936,661994598,2
6366730,53049600,0
6366730,686026094,1
6366730,686026097,2
6366730,53108451,3
6368000,53109852,0
6368000,53109178,1
6369054,53111133,0
6369054,53081316,1
6369054,53082236,2
6369054,53111137,3
6369054,53105314,4
6369054,53111139,5
6369054,53111141,6
6369985,53032284,0
6369985,804487722,1
6369985,804487772,2
6369985,804488183,3
6369985,804488022,4
6369985,804488357,5
6369985,53112259,6
6370943,53113293,0
6370943,53035795,1
6370943,53113295,2
6370943,53089311,3
6371723,53029421,0
6371723,53114090,1
6371723,4231963344,2
6371723,53043458,3
6371723,53114091,4
6371723,4231963351,5
6371723,53114092,6
6371723,4231963352,7
6371723,53113159,8
6371723,53043446,9
6372631,53115261,0
6372631,53035860,1
6372631,53115262,2
6373729,53116596,0
6373729,259396682,1
6373729,259396683,2
6373729,662005436,3
6373729,662005439,4
6373729,259396684,5
6373729,259396685,6
6373729,662005054,7
6373729,3145796843,8
6373729,259396686,9
6373729,259396687,10
6373729,3145796842,11
6373729,662004519,12
6373729,53097578,13
6374857,53108183,0
6374857,712637612,1
6374857,712637614,2
6374857,53118359,3
6375863,53119576,0
6375863,53119577,1
6375863,833262013,2
6375863,53119579,3
6375863,53119581,4
6375863,53119583,5
6376754,53085594,0
6376754,53120570,1
6376754,441518572,2
6376754,441518574,3
6376754,441518576,4
6376754,441518578,5
6377784,53121710,0
6377784,311078984,1
6377784,311078972,2
6377784,311078957,3
6377784,311078963,4
6377784,311078978,5
6377784,53121711,6
6377784,53075925,7
6377784,99537111,8
6379089,53123295,0
6379089,3373199074,1
6379089,53098387,2
6379089,53092509,3
6380303,53064700,0
6380303,53124721,1
6380303,53027573,2
6380303,53097709,3
6381287,53037287,0
6381287,53125755,1
6381287,53006269,2
6381287,53108137,3
6381287,53025275,4
6382322,53034505,0
6382322,53126994,1
6383382,53063818,0
6383382,2112861945,1
6383382,53128310,2
6384446,53129564,0
6384446,53096749,1
6384446,53129566,2
6384446,53129568,3
6384446,53129570,4
6385481,53113050,0
6385481,53079269,1
6385481,53029088,2
6385481,53085496,3
6386477,53125769,0
6386477,53054365,1
6386477,296482287,2
6386477,53131825,3
6387639,53133635,0
6387639,53068226,1
6387639,4689567070,2
6387639,260546731,3
6387639,260546732,4
6387639,260546733,5
6387639,260546734,6
6387639,260546735,7
6387639,53103845,8
6389718,53136656,0
6389718,53136657,1
6389718,3696048657,2
6389718,53157846,3
6389718,3696048656,4
6389718,53083122,5
6389718,53136658,6
6389718,3590727540,7
6389718,53096140,8
6389718,53118458,9
6389718,826956122,10
6390644,53111917,0
6390644,53137719,1
6390644,53137721,2
6390644,53137723,3
6390644,603312956,4
6390644,53077469,5
6390644,53105098,6
6390644,53137726,7
6390644,53137728,8
6390644,686033980,9
6390644,53137730,10
6390644,53137732,11
6390644,53102084,12
6390644,686033981,13
6390644,53137734,14
6390644,686001322,15
6390644,686001323,16
6390644,53137736,17
6391902,53120461,0
6391902,53139284,1
6393127,256181480,0
6393127,1332157883,1
6393127,1332157850,2
6393127,53140755,3
6393127,667218388,4
6393127,667218393,5
6393127,667218396,6
6393127,207948633,7
6393127,1332158019,8
